t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2033,p55003,Nuclear,nuclear_r_fsu,r,fsu,1357.95248,From ReEDS case CarbCap95
2036,p16009,Nuclear,nuclear_r_fsu,r,fsu,1096.662207,From ReEDS case CarbCap95
2036,p17007,Nuclear,nuclear_r_fsu,r,fsu,1933.740622,From ReEDS case CarbCap95
2036,p32001,Nuclear,nuclear_r_fsu,r,fsu,898.061338,From ReEDS case CarbCap95
2036,p36001,Nuclear,nuclear_r_fsu,r,fsu,1371.517256,From ReEDS case CarbCap95
2036,p53007,Nuclear,nuclear_r_fsu,r,fsu,306.44166,From ReEDS case CarbCap95
2036,p55003,Nuclear,nuclear_r_fsu,r,fsu,196.488129,From ReEDS case CarbCap95
2042,p4015,Nuclear,nuclear_r_fsu,r,fsu,831.169426,From ReEDS case CarbCap95
2042,p12005,Nuclear,nuclear_r_fsu,r,fsu,2350.390606,From ReEDS case CarbCap95
2042,p32001,Nuclear,nuclear_r_fsu,r,fsu,391.886378,From ReEDS case CarbCap95
2042,p36001,Nuclear,nuclear_r_fsu,r,fsu,1381.913423,From ReEDS case CarbCap95
2042,p49001,Nuclear,nuclear_r_fsu,r,fsu,67.263773,From ReEDS case CarbCap95
2048,p1007,Nuclear,nuclear_r_fsu,r,fsu,1167.029814,From ReEDS case CarbCap95
2045,p4015,Nuclear,nuclear_r_fsu,r,fsu,2833.324376,From ReEDS case CarbCap95
2048,p4015,Nuclear,nuclear_r_fsu,r,fsu,2864.739477,From ReEDS case CarbCap95
2048,p8001,Nuclear,nuclear_r_fsu,r,fsu,625.814008,From ReEDS case CarbCap95
2045,p12005,Nuclear,nuclear_r_fsu,r,fsu,11225.902004,From ReEDS case CarbCap95
2048,p12005,Nuclear,nuclear_r_fsu,r,fsu,2529.081388,From ReEDS case CarbCap95
2045,p13001,Nuclear,nuclear_r_fsu,r,fsu,2099.05374,From ReEDS case CarbCap95
2048,p13001,Nuclear,nuclear_r_fsu,r,fsu,1831.91646,From ReEDS case CarbCap95
2048,p19009,Nuclear,nuclear_r_fsu,r,fsu,423.48595,From ReEDS case CarbCap95
2045,p17001,Nuclear,nuclear_r_fsu,r,fsu,1176.35106,From ReEDS case CarbCap95
2045,p17007,Nuclear,nuclear_r_fsu,r,fsu,2412.664734,From ReEDS case CarbCap95
2045,p21003,Nuclear,nuclear_r_fsu,r,fsu,288.917874,From ReEDS case CarbCap95
2048,p21003,Nuclear,nuclear_r_fsu,r,fsu,977.199758,From ReEDS case CarbCap95
2048,p22001,Nuclear,nuclear_r_fsu,r,fsu,1317.521424,From ReEDS case CarbCap95
2048,p37003,Nuclear,nuclear_r_fsu,r,fsu,1671.93904,From ReEDS case CarbCap95
2045,p38001,Nuclear,nuclear_r_fsu,r,fsu,111.549618,From ReEDS case CarbCap95
2048,p38001,Nuclear,nuclear_r_fsu,r,fsu,364.06236,From ReEDS case CarbCap95
2045,p32001,Nuclear,nuclear_r_fsu,r,fsu,833.662571,From ReEDS case CarbCap95
2048,p32001,Nuclear,nuclear_r_fsu,r,fsu,1007.028709,From ReEDS case CarbCap95
2045,p36001,Nuclear,nuclear_r_fsu,r,fsu,1495.598292,From ReEDS case CarbCap95
2048,p36001,Nuclear,nuclear_r_fsu,r,fsu,1682.513325,From ReEDS case CarbCap95
2045,p47001,Nuclear,nuclear_r_fsu,r,fsu,260.675767,From ReEDS case CarbCap95
2048,p48001,Nuclear,nuclear_r_fsu,r,fsu,7553.844708,From ReEDS case CarbCap95
2045,p48037,Nuclear,nuclear_r_fsu,r,fsu,561.603845,From ReEDS case CarbCap95
2048,p48037,Nuclear,nuclear_r_fsu,r,fsu,1733.084047,From ReEDS case CarbCap95
2045,p49001,Nuclear,nuclear_r_fsu,r,fsu,663.953355,From ReEDS case CarbCap95
2048,p49001,Nuclear,nuclear_r_fsu,r,fsu,793.749212,From ReEDS case CarbCap95
2045,p51003,Nuclear,nuclear_r_fsu,r,fsu,6485.890586,From ReEDS case CarbCap95
2048,p51003,Nuclear,nuclear_r_fsu,r,fsu,239.013598,From ReEDS case CarbCap95
2045,p55003,Nuclear,nuclear_r_fsu,r,fsu,1246.957041,From ReEDS case CarbCap95
2048,p55003,Nuclear,nuclear_r_fsu,r,fsu,16.616918,From ReEDS case CarbCap95
